year	nationality	number
2006	Republic of Ireland	2,070
2006	Romania	170
2006	Poland	9,940
2006	Bulgaria	70
2006	Lithuania	2,470
2006	Portugal	470
2006	Slovakia	2,190
2006	Spain	160
2006	Hungaria	370
2006	United Kingdom	210
2006	Latvia	600
2006	Italia	100
2006	India	480
2006	France	270
2006	China	350
2006	Czech Republic	530
2006	United States of America	180
2006	Greece	10
2006	Netherlands	50
2006	Germany	170
2006	Malaysia	40
2006	Philippines	380
2006	Australia	210
2006	Canada	120
2006	Nigeria	40
2006	Pakistan	40
2006	South Africa	120
2006	New Zealand	70
2006	Unknown/Others	1,220
2007	Republic of Ireland	2,350
2007	Romania	220
2007	Poland	10,280
2007	Bulgaria	250
2007	Lithuania	1,950
2007	Portugal	520
2007	Slovakia	2,290
2007	Spain	210
2007	Hungaria	650
2007	United Kingdom	270
2007	Latvia	520
2007	Italia	140
2007	India	490
2007	France	260
2007	China	480
2007	Czech Republic	450
2007	United States of America	230
2007	Greece	30
2007	Netherlands	80
2007	Germany	210
2007	Malaysia	90
2007	Philippines	290
2007	Australia	220
2007	Canada	110
2007	Nigeria	60
2007	Pakistan	50
2007	South Africa	110
2007	New Zealand	80
2007	Unknown/Others	1,240
2008	Republic of Ireland	2,570
2008	Romania	370
2008	Poland	5,240
2008	Bulgaria	440
2008	Lithuania	1,560
2008	Portugal	700
2008	Slovakia	1,240
2008	Spain	220
2008	Hungaria	530
2008	United Kingdom	380
2008	Latvia	540
2008	Italia	110
2008	India	520
2008	France	290
2008	China	480
2008	Czech Republic	270
2008	United States of America	240
2008	Greece	20
2008	Netherlands	60
2008	Germany	160
2008	Malaysia	50
2008	Philippines	270
2008	Australia	180
2008	Canada	110
2008	Nigeria	80
2008	Pakistan	50
2008	South Africa	100
2008	New Zealand	90
2008	Unknown/Others	1,000
2009	Republic of Ireland	2,720
2009	Romania	560
2009	Poland	2,550
2009	Bulgaria	220
2009	Lithuania	1,430
2009	Portugal	390
2009	Slovakia	470
2009	Spain	210
2009	Hungaria	320
2009	United Kingdom	290
2009	Latvia	760
2009	Italia	110
2009	India	350
2009	France	210
2009	China	350
2009	Czech Republic	160
2009	United States of America	170
2009	Greece	10
2009	Netherlands	70
2009	Germany	120
2009	Malaysia	60
2009	Philippines	170
2009	Australia	110
2009	Canada	60
2009	Nigeria	130
2009	Pakistan	70
2009	South Africa	50
2009	New Zealand	40
2009	Unknown/Others	850
2010	Republic of Ireland	2,840
2010	Romania	470
2010	Poland	2,240
2010	Bulgaria	170
2010	Lithuania	1,770
2010	Portugal	500
2010	Slovakia	420
2010	Spain	260
2010	Hungaria	320
2010	United Kingdom	280
2010	Latvia	660
2010	Italia	130
2010	India	460
2010	France	160
2010	China	410
2010	Czech Republic	120
2010	United States of America	180
2010	Greece	20
2010	Netherlands	60
2010	Germany	160
2010	Malaysia	50
2010	Philippines	180
2010	Australia	80
2010	Canada	70
2010	Nigeria	80
2010	Pakistan	80
2010	South Africa	40
2010	New Zealand	30
2010	Unknown/Others	850
2011	Republic of Ireland	2,960
2011	Romania	290
2011	Poland	2,290
2011	Bulgaria	190
2011	Lithuania	1,440
2011	Portugal	570
